OLD URL,Action,NEW URL,Family,Template,Entry visits,GSC clicks,GSC impressions,Backlinks,Indexed?,Assets,QA status,Notes
/french-for-sigh.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-slap.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-smear.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr; TrafficWave
/french-for-spill.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-split.html,REVIEW,,(unknown),,0,,,,,0,,no entry traffic in 6yr; HTTP 404 in crawl
/french-for-spoil.html,KEEP,/french-for-spoil.html,X-for-word lessons,TEMPLATED-ish,25,,,,,6,,
/french-for-station.html,KEEP,/french-for-station.html,X-for-word lessons,TEMPLATED-ish,6903,,,,,11,,h1_count=0
/french-for-steal.html,KEEP,/french-for-steal.html,X-for-word lessons,TEMPLATED-ish,137,,,,,6,,
/french-for-stir-up-attiser.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,1,,no entry traffic in 6yr
/french-for-stun.html,KEEP,/french-for-stun.html,X-for-word lessons,TEMPLATED-ish,60,,,,,6,,
/french-for-succeed-end-up.html,KEEP,/french-for-succeed-end-up.html,X-for-word lessons,TEMPLATED-ish,296,,,,,6,,
/french-for-suffocate.html,KEEP,/french-for-suffocate.html,X-for-word lessons,TEMPLATED-ish,39,,,,,7,,
/french-for-suitcase-is-valise.html,KEEP,/french-for-suitcase-is-valise.html,X-for-word lessons,TEMPLATED-ish,4110,,,,,11,,h1_count=0
/french-for-surround.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-swim-nager.html,KEEP,/french-for-swim-nager.html,X-for-word lessons,TEMPLATED-ish,508,,,,,11,,h1_count=0
/french-for-take-away.html,KEEP,/french-for-take-away.html,X-for-word lessons,TEMPLATED-ish,285,,,,,7,,
/french-for-tell.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-ticket.html,KEEP,/french-for-ticket.html,X-for-word lessons,TEMPLATED-ish,3954,,,,,11,,
/french-for-tilt-pencher.html,KEEP,/french-for-tilt-pencher.html,X-for-word lessons,TEMPLATED-ish,220,,,,,6,,
/french-for-topple.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-treat.html,KEEP,/french-for-treat.html,X-for-word lessons,TEMPLATED-ish,696,,,,,7,,
/french-for-tuck.html,KEEP,/french-for-tuck.html,X-for-word lessons,TEMPLATED-ish,180,,,,,6,,
/french-for-wait-for.html,KEEP,/french-for-wait-for.html,X-for-word lessons,TEMPLATED-ish,745,,,,,6,,
/french-for-wardrobe-is-une-armoire-comment-form.html,301,/french-for-wardrobe-is-une-armoire.html,(unknown),,0,,,,,1,,SBI comment artifact -> 301 to parent; no canonical
/french-for-wardrobe-is-une-armoire.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,0,,no entry traffic in 6yr; h1_count=2
/french-for-water.html,KEEP,/french-for-water.html,X-for-word lessons,TEMPLATED-ish,671,,,,,13,,PayPal
/french-for-weaken.html,KEEP,/french-for-weaken.html,X-for-word lessons,TEMPLATED-ish,669,,,,,6,,
/french-for-wrestle.html,KEEP,/french-for-wrestle.html,X-for-word lessons,TEMPLATED-ish,53,,,,,7,,
