primary_legacy_refn,source_kind,source_filename,source_path,target_ext,all_legacy_refns_count,all_legacy_refns
840,jpg,"to be present at ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to be present at ,v.jpg",jpg,2,"840,10840"
841,jpg,"to be sleepy ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to be sleepy ,v.jpg",jpg,2,"841,10841"
842,jpg,"to be thirsty ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to be thirsty ,v.jpg",jpg,1,842
843,jpg,"to become ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to become ,v.jpg",jpg,2,"843,10843"
844,jpg,"to begin ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to begin ,v.jpg",jpg,2,"844,10844"
845,jpg,"to believe ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to believe ,v.jpg",jpg,2,"845,10845"
846,jpg,"to bite ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to bite ,v.jpg",jpg,2,"846,10846"
848,jpg,"to blow ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to blow ,v.jpg",jpg,2,"848,10848"
849,jpg,"to brake ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to brake ,v.jpg",jpg,2,"849,10849"
850,jpg,"to break ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to break ,v.jpg",jpg,2,"850,10850"
852,jpg,"to brush (hair ,shoes but not teeth (lavarsi) ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to brush (hair ,shoes but not teeth (lavarsi) ,v.jpg",jpg,2,"852,10852"
853,jpg,"to burn ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to burn ,v.jpg",jpg,2,"853,10853"
854,jpg,"to buy ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to buy ,v.jpg",jpg,1,854
855,jpg,"to call ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to call ,v.jpg",jpg,2,"855,10855"
856,jpg,"to change ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to change ,v.jpg",jpg,2,"856,10856"
857,jpg,"to chat ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to chat ,v.jpg",jpg,1,857
858,jpg,"to choose ,pick ,select ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to choose ,pick ,select ,v.jpg",jpg,1,858
859,jpg,"to close ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to close ,v.jpg",jpg,2,"859,10859"
860,jpg,"to come ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to come ,v.jpg",jpg,1,860
861,jpg,"to cook ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to cook ,v.jpg",jpg,2,"861,10861"
862,jpg,"to cost ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to cost ,v.jpg",jpg,1,862
863,jpg,"to cross ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to cross ,v.jpg",jpg,2,"863,10863"
864,jpg,"to cry (tears) ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to cry (tears) ,v.jpg",jpg,2,"864,10864"
865,jpg,"to dance ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to dance ,v.jpg",jpg,2,"865,10865"
866,jpg,"to delay ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to delay ,v.jpg",jpg,2,"866,10866"
867,jpg,"to die ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to die ,v.jpg",jpg,2,"867,10867"
868,jpg,"to do ,to make ,to build ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to do ,to make ,to build ,v.jpg",jpg,2,"868,10868"
869,jpg,"to draw ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to draw ,v.jpg",jpg,2,"869,10869"
870,jpg,"to drink ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to drink ,v.jpg",jpg,1,870
871,jpg,"to drive ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to drive ,v.jpg",jpg,2,"871,10871"
872,jpg,"to eat ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to eat ,v.jpg",jpg,1,872
874,jpg,"to enter ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to enter ,v.jpg",jpg,2,"874,10874"
875,jpg,"to fall ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to fall ,v.jpg",jpg,2,"875,10875"
876,jpg,"to fall in love ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to fall in love ,v.jpg",jpg,2,"876,10876"
877,jpg,"to feel ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to feel ,v.jpg",jpg,1,877
878,jpg,"to feel ill ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to feel ill ,v.jpg",jpg,2,"878,10878"
879,jpg,"to find, discover ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to find, discover ,v.jpg",jpg,2,"879,10879"
880,jpg,"to finish ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to finish ,v.jpg",jpg,2,"880,10880"
882,jpg,"to get up ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to get up ,v.jpg",jpg,1,882
883,jpg,"to get ,to catch ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to get ,to catch ,v.jpg",jpg,2,"883,10883"
884,jpg,"to go ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to go ,v.jpg",jpg,2,"884,10884"
885,jpg,"to go on holiday ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to go on holiday ,v.jpg",jpg,2,"885,10885"
886,jpg,"to go out ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to go out ,v.jpg",jpg,2,"886,10886"
888,jpg,"to have ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to have ,v.jpg",jpg,2,"888,10888"
890,jpg,"to have a sore throat ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to have a sore throat ,v.jpg",jpg,2,"890,10890"
891,jpg,"to have lunch ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to have lunch ,v.jpg",jpg,2,"891,10891"
892,jpg,"to have to (must) ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to have to (must) ,v.jpg",jpg,1,892
893,jpg,"to throw ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to throw ,v.jpg",jpg,2,"893,10893"
895,jpg,"to help ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to help ,v.jpg",jpg,2,"895,10895"
896,jpg,"to hurt ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to hurt ,v.jpg",jpg,2,"896,10896"
897,jpg,"to increase ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to increase ,v.jpg",jpg,2,"897,10897"
898,jpg,"to introduce ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to introduce ,v.jpg",jpg,2,"898,10898"
899,jpg,"to invite ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to invite ,v.jpg",jpg,2,"899,10899"
900,jpg,"to kiss ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to kiss ,v.jpg",jpg,2,"900,10900"
901,jpg,"to know ( person  , place) ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to know ( person  , place) ,v.jpg",jpg,2,"901,10901"
902,jpg,"to know (a fact) ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to know (a fact) ,v.jpg",jpg,2,"902,10902"
903,jpg,"to land ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to land ,v.jpg",jpg,2,"903,10903"
